,Month,Day of The Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,reason_1,reason_2,reason_3,reason_4
0,7,1,289,36,33,239.554,30,0,2,1,4,0,0,0,1
1,7,1,118,13,50,239.554,31,0,1,0,0,0,0,0,0
2,7,2,179,51,38,239.554,31,0,0,0,2,0,0,0,1
3,7,3,279,5,39,239.554,24,0,2,0,4,1,0,0,0
4,7,3,289,36,33,239.554,30,0,2,1,2,0,0,0,1
5,7,4,179,51,38,239.554,31,0,0,0,2,0,0,0,1
6,7,4,361,52,28,239.554,27,0,1,4,8,0,0,0,1
7,7,4,260,50,36,239.554,23,0,4,0,4,0,0,0,1
8,7,0,155,12,34,239.554,25,0,2,0,40,0,0,1,0
9,7,0,235,11,37,239.554,29,1,1,1,8,0,0,0,1
10,7,0,260,50,36,239.554,23,0,4,0,8,1,0,0,0
11,7,1,260,50,36,239.554,23,0,4,0,8,1,0,0,0
12,7,2,260,50,36,239.554,23,0,4,0,8,1,0,0,0
13,7,2,179,51,38,239.554,31,0,0,0,1,1,0,0,0
14,7,2,179,51,38,239.554,31,0,0,0,4,0,0,0,1
15,7,4,246,25,41,239.554,23,0,0,0,8,1,0,0,0
16,7,4,179,51,38,239.554,31,0,0,0,2,0,0,0,1
17,7,0,179,51,38,239.554,31,0,0,0,8,0,0,1,0
18,7,3,189,29,33,239.554,25,0,2,2,8,1,0,0,0
19,8,2,248,25,47,205.917,32,0,2,1,2,0,0,0,1
20,8,2,330,16,28,205.917,25,1,0,0,8,1,0,0,0
21,8,0,179,51,38,205.917,31,0,0,0,1,1,0,0,0
22,8,0,361,52,28,205.917,27,0,1,4,40,1,0,0,0
23,8,4,260,50,36,205.917,23,0,4,0,4,0,0,0,1
24,8,0,289,36,33,205.917,30,0,2,1,8,0,0,1,0
25,8,0,361,52,28,205.917,27,0,1,4,7,0,0,0,1
26,8,1,289,36,33,205.917,30,0,2,1,1,0,0,0,1
27,8,2,157,27,29,205.917,22,0,0,0,4,0,0,0,1
28,8,2,289,36,33,205.917,30,0,2,1,8,0,0,1,0
29,8,4,179,51,38,205.917,31,0,0,0,2,0,0,0,1
30,8,0,179,51,38,205.917,31,0,0,0,8,0,0,1,0
31,8,3,235,29,48,205.917,33,0,1,5,8,0,0,1,0
32,8,3,235,11,37,205.917,29,1,1,1,4,0,0,0,1
33,8,0,235,29,48,205.917,33,0,1,5,8,0,0,1,0
34,8,0,179,51,38,205.917,31,0,0,0,2,0,0,0,1
35,8,0,361,52,28,205.917,27,0,1,4,1,0,0,0,1
36,8,1,289,36,33,205.917,30,0,2,1,8,0,0,0,1
37,8,3,291,50,32,205.917,23,0,0,0,4,1,0,0,0
38,8,4,235,29,48,205.917,33,0,1,5,8,0,0,0,1
39,8,4,260,50,36,205.917,23,0,4,0,4,0,0,0,1
40,9,1,184,42,27,241.476,21,0,0,0,2,0,0,0,1
41,9,0,118,10,37,241.476,28,0,0,0,4,0,0,0,1
42,9,1,179,51,38,241.476,31,0,0,0,4,0,0,0,1
43,9,1,235,20,43,241.476,38,0,1,0,8,0,0,1,0
44,9,2,155,12,34,241.476,25,0,2,0,2,0,0,0,1
45,9,6,118,10,37,241.476,28,0,0,0,3,0,0,0,1
46,9,0,179,51,38,241.476,31,0,0,0,3,0,0,0,1
47,9,3,291,31,40,241.476,25,0,1,1,4,0,0,0,1
48,9,4,260,50,36,241.476,23,0,4,0,8,0,0,0,1
49,9,0,291,31,40,241.476,25,0,1,1,32,1,0,0,0
50,9,0,260,50,36,241.476,23,0,4,0,0,0,0,0,0
51,9,0,225,26,28,241.476,24,0,1,2,0,0,0,0,0
52,9,1,225,26,28,241.476,24,0,1,2,2,0,0,0,1
53,9,1,118,10,37,241.476,28,0,0,0,2,0,0,0,1
54,9,1,289,36,33,241.476,30,0,2,1,0,0,0,0,0
55,9,1,118,13,50,241.476,31,0,1,0,0,0,0,0,0
56,9,2,225,26,28,241.476,24,0,1,2,3,0,0,1,0
57,9,2,179,51,38,241.476,31,0,0,0,3,0,0,0,1
58,9,2,369,17,31,241.476,25,0,3,0,0,0,0,0,0
59,9,4,248,25,47,241.476,32,0,2,1,1,0,0,0,1
60,9,4,179,51,38,241.476,31,0,0,0,3,0,0,0,1
61,9,4,260,50,36,241.476,23,0,4,0,4,0,0,0,1
62,10,1,179,51,38,253.465,31,0,0,0,3,0,0,0,1
63,10,1,118,10,37,253.465,28,0,0,0,3,0,0,0,1
64,10,2,118,13,50,253.465,31,0,1,0,0,0,0,0,0
65,10,3,179,26,30,253.465,19,1,0,0,1,0,0,0,1
